month,avg_gas,avg_max_fee_per_gas,avg_max_priority_fee_per_gas,avg_receipt_effective_gas_price,avg_gas_price
1,204962.02470660073,44480849854.76671,4801267235.538899,25011639306.14777,25011639306.14777
2,218809.7322367282,63670668191.831665,5432312073.803402,33994265075.442257,33994265075.442257
3,256870.31567316555,63986881009.84345,5793318931.519641,33284818120.42358,33284818120.42358
4,259517.36725444082,73401348593.8129,6647462020.484099,40108076938.55277,40108076938.55277
5,245223.11446406084,116678134302.9917,11861711412.650822,73663246960.94868,73663246960.94868
6,256810.46601404547,55589226451.58759,5337581255.165367,27184027769.057,27184027769.057
7,294159.80922138214,59428699320.25681,6073288662.200651,30433107257.940624,30433107257.940624
