month,avg_gas,avg_max_fee_per_gas,avg_max_priority_fee_per_gas,avg_receipt_effective_gas_price,avg_gas_price
1,204962.02470660085,44480849854.76669,4801267235.538902,25011639306.14774,25011639306.14774
2,218809.7322367282,63670668191.83161,5432312073.803402,33994265075.442223,33994265075.442223
3,256870.31567316543,63986881009.843445,5793318931.519641,33284818120.42357,33284818120.42357
4,259517.36725444053,73401348593.81291,6647462020.484098,40108076938.55275,40108076938.55275
5,245223.11446406093,116678134302.99176,11861711412.650812,73663246960.94873,73663246960.94873
6,256810.46601404526,55589226451.58753,5337581255.165366,27184027769.057,27184027769.057
7,294159.80922138225,59428699320.25684,6073288662.200652,30433107257.940624,30433107257.940624
