Model,Validation RMSE,Validation R²,Validation MSE,Validation MAE,Validation MAPE,Test RMSE,Test R²,Test MSE,Test MAE,Test MAPE
Random Forest,0.08852719781670461,0.9999196917574417,0.00783706475327795,0.0031368276738616874,6.868059601001623e-05,0.08185023823709689,0.9999263450597583,0.006699461499469518,0.0031454599598742445,6.763855994411059e-05
Ridge Regression,0.000407550607257992,0.9999999982979599,1.6609749747635803e-07,0.0002130257594904039,3.011589731241836e-05,0.0004217962300267398,0.9999999980440066,1.779120596647704e-07,0.00021403222209696627,3.023094144309203e-05
Neural Network,0.025914582810600186,0.9999931183095997,0.0006715656022474546,0.007774279653328522,0.0011061502085704792,0.03017449400288677,0.9999899898178979,0.0009105000883302498,0.007955746618080078,0.0010927602319725563
