month,avg_gas,avg_max_fee_per_gas,avg_max_priority_fee_per_gas,avg_receipt_effective_gas_price,avg_gas_price
1,204962.02470660067,44480849854.766685,4801267235.538897,25011639306.147736,25011639306.147736
2,218809.7322367282,63670668191.83166,5432312073.803405,33994265075.442234,33994265075.442234
3,256870.31567316543,63986881009.84343,5793318931.519647,33284818120.423553,33284818120.423553
4,259517.36725444064,73401348593.81293,6647462020.484098,40108076938.55274,40108076938.55274
5,245223.11446406101,116678134302.9918,11861711412.650812,73663246960.94862,73663246960.94862
6,256810.46601404526,55589226451.58757,5337581255.165364,27184027769.056984,27184027769.056984
7,294159.8092213825,59428699320.256805,6073288662.200649,30433107257.94062,30433107257.94062
